id,timestamp,trial_num,block_num,basic_step,difficulty,start_model,target_model,method,tot_time, result
3,08/21/2017 18:23:38,0,5,1,4,011000000011010000000000000,110100000110000000000000000,s,00:00:02.8276950,True
4,08/21/2017 18:23:42,0,7,1,4,000000000110110000110100000,110100000110110000000000000,s,00:00:03.3738020,True
5,08/21/2017 18:23:47,0,9,2,2,110100110010110100000000000,110010110100110010000000000,s,00:00:03.1627940,True
6,08/21/2017 18:23:51,0,4,3,7,010000000010010000010000000,010110010000000000000000000,rs,00:00:03.9132560,True
7,08/21/2017 18:23:56,0,7,3,5,000100000010110000010110000,110110010100100000000000000,rs,00:00:10.4778650,True
8,08/21/2017 18:24:07,0,10,4,1,011011000011011000010001000,110110000110110000100010000,rs,00:00:04.1403580,True
9,08/21/2017 18:24:13,0,12,3,0,111111000111110010000000000,010110111000111111000000000,rs,00:00:14.0975420,False
10,08/21/2017 18:24:30,1,12,3,0,111111000111110010000000000,010110111000111111000000000,rs,00:00:04.5530140,False
11,08/21/2017 18:24:36,2,12,3,0,111111000111110010000000000,010110111000111111000000000,rs,00:00:17.3169540,False
12,08/21/2017 18:24:55,3,12,3,0,111111000111110010000000000,010110111000111111000000000,rs,00:00:08.0753500,True
13,8/22/2017 11:08:39 AM,0,4,1,9,000000000000000011000000011,110000000110000000000000000,r,00:00:07.6565629,True
14,8/22/2017 11:08:48 AM,0,5,2,6,000000011000000011000000001,100100100100100000000000000,r,00:00:16.7584424,True
15,8/22/2017 11:09:06 AM,0,7,2,3,111010110010000000000000000,010000000111010011000000000,r,00:00:13.7094307,True
16,8/22/2017 11:09:21 AM,0,5,1,4,000000000100100100000100100,100100100100100000000000000,s,00:00:11.7958554,True
17,8/22/2017 11:09:36 AM,0,7,1,4,100100000110100000100100000,100100000100110000100100000,s,00:00:08.7335987,True
18,8/22/2017 11:09:50 AM,0,4,1,9,111000000100000000000000000,100100100100000000000000000,r,00:00:21.7577354,True
19,8/22/2017 11:10:13 AM,0,5,2,6,000000011000000011000000010,111110000000000000000000000,r,00:00:05.6582848,True
20,8/22/2017 11:10:20 AM,0,7,2,3,010111001110000000000000000,010110000100100100000000100,r,00:00:08.0287402,True
21,8/22/2017 11:10:29 AM,0,5,1,4,001011000001001000000000000,110010000010010000000000000,s,00:00:09.1454778,True
22,8/22/2017 11:10:40 AM,0,7,1,4,000111010000000011000000010,010111000011000000010000000,s,00:00:08.4409169,True
23,8/22/2017 11:10:49 AM,0,9,2,2,001010000001011001001001001,000010100100110100100100100,s,00:00:10.7158986,True
24,8/22/2017 11:11:02 AM,0,4,3,7,000000000001001001001000000,000000100100100100000000000,rs,00:00:04.4825375,True
25,8/22/2017 11:11:07 AM,0,7,3,5,001000000011001000111000000,111011001010000000000000000,rs,00:00:25.2235913,True
26,8/22/2017 11:11:34 AM,0,10,4,1,000101111100100110000100000,000001000001001011000101111,rs,00:00:06.9453753,True
27,8/22/2017 11:11:42 AM,0,12,3,0,111000000111000000111110010,111000000111001001111001000,rs,00:00:12.7861036,True
0,8/23/2017 1:07:03 PM,0,4,1,9,000000000000110000000110000,110000000110000000000000000,r,00:00:03.1132074,True
1,8/23/2017 1:07:09 PM,0,5,2,6,000000000000001001000011001,010110000000110000000000000,r,00:00:09.6618105,True
2,8/23/2017 1:07:20 PM,0,7,2,3,000110111000000101000000000,100100000110100110000000000,r,00:00:02.5588415,True
3,8/23/2017 1:07:24 PM,0,5,1,4,010110110000000000000000000,110110010000000000000000000,s,00:00:02.8173496,True
4,8/23/2017 1:07:28 PM,0,7,1,4,000000000100100000100110110,100110110100100000000000000,s,00:00:00.8351928,True
5,8/23/2017 1:07:30 PM,0,9,2,2,111001001011001000001000000,001000000011001000111001001,s,00:00:00.9480174,True
6,8/24/2017 3:17:23 PM,0,4,1,9,111100000000000000000000000,111000000100000000000000000,r,00:00:10.4864645,True
7,8/24/2017 3:17:35 PM,0,5,2,6,111010000001000000000000000,100100110000100000000000000,r,00:00:02.7869381,True
8,8/24/2017 3:34:58 PM,0,4,1,9,110000000110000000000000000,100100000100100000000000000,r,00:00:04.9111489,True
9,8/24/2017 3:35:04 PM,0,5,2,6,000010111000000100000000000,100100000000110000000100000,r,00:00:19.0305309,False
10,8/24/2017 3:35:25 PM,1,5,2,6,000010111000000100000000000,100100000000110000000100000,r,00:00:13.8012409,True
11,8/24/2017 3:35:40 PM,0,7,2,3,000000000000010011000011011,110010000110110000000000000,r,00:00:02.3109311,True
12,8/24/2017 3:35:44 PM,0,5,1,4,000000001000011011000000000,110110000000010000000000000,s,00:00:00.8948483,True
13,8/24/2017 3:35:46 PM,0,7,1,4,000000100000001100000011110,011110000001100000000100000,s,00:00:00.4885523,True
14,8/24/2017 3:35:47 PM,0,9,2,2,000100100010111110000100000,000001001010111011000001000,s,00:00:03.1619945,True
15,8/24/2017 3:35:51 PM,0,4,3,7,010011010000000000000000000,010000000110000000010000000,rs,00:00:09.9977425,True
16,8/24/2017 3:36:02 PM,0,7,3,5,110111100000001000000000000,000100000001111011000000000,rs,00:00:02.6562710,True
17,8/24/2017 3:36:06 PM,0,10,4,1,001011000001011001001011000,010111111000111000000000000,rs,00:00:05.6596514,False
18,8/24/2017 3:36:13 PM,1,10,4,1,001011000001011001001011000,010111111000111000000000000,rs,00:00:12.8916763,True
19,8/24/2017 3:36:28 PM,0,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:08.0103778,False
20,8/24/2017 3:36:37 PM,1,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:19.9835467,False
21,8/24/2017 3:36:59 PM,2,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:10.1094672,False
22,8/24/2017 3:37:11 PM,3,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:21.2373614,False
23,8/24/2017 3:37:33 PM,4,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:06.0251696,False
24,8/24/2017 3:37:43 PM,5,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:05.4350338,False
25,8/24/2017 3:37:52 PM,6,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:25.5281769,False
26,8/24/2017 3:38:24 PM,7,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:11.6302422,False
27,8/24/2017 3:38:36 PM,8,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:00:16.2613399,False
28,8/24/2017 3:39:01 PM,9,12,3,0,100010000110111111100000001,100000001110111111000010001,rs,00:01:13.4521597,False
29,08/26/2017 15:56:53,0,4,1,9,000000000000000011000000011,110110000000000000000000000,r,00:00:01.8860630,True
30,08/26/2017 15:56:56,0,5,2,6,110000000010010010000000000,100110000000010000000010000,r,00:00:03.2956470,True
31,08/26/2017 15:57:01,0,7,2,3,000010000001111000000110000,000000010011111010000000000,r,00:00:05.8157570,True
0,08/26/2017 15:57:18,0,5,1,4,000000000011001000011000000,110000000110010000000000000,s,00:00:04.1176630,True
1,08/26/2017 15:57:24,0,7,1,4,001001001000011011000000000,100100100000110110000000000,s,00:00:03.5696400,True
2,08/26/2017 15:57:28,0,9,2,2,011011000111001000001000000,110110000100111000000100000,s,00:00:07.2941940,True
3,08/26/2017 15:57:43,0,4,3,7,000000000000000000000001111,100100100000000100000000000,rs,00:00:24.0393980,True
4,08/26/2017 15:58:08,0,7,3,5,010011010010010010000000000,010110010010010010000000000,rs,00:00:01.9207900,True
5,08/26/2017 15:58:11,0,10,4,1,001001001001011001000011001,000011000111111110000000000,rs,00:00:16.0892090,False
6,08/26/2017 16:03:17,0,4,3,7,111001000000000000000000000,100000000111000000000000000,rs,00:00:07.4655430,True
7,08/26/2017 16:03:26,0,7,3,5,011011000010011000000000000,110110000110100000000000000,rs,00:00:02.2659710,True
8,08/26/2017 16:03:29,0,10,4,1,101111111000110000000000000,010010000111110111000000000,rs,00:00:13.4418330,True
9,08/26/2017 16:03:51,0,8,4,0,100000000110110110000000100,100000000111111000001000000,rs,00:00:06.8950840,True
10,08/26/2017 16:03:59,0,12,3,0,000110001000111111110010000,000010110111111000001110000,rs,00:00:02.8628650,False
11,08/26/2017 16:04:03,1,12,3,0,000110001000111111110010000,000010110111111000001110000,rs,00:00:01.4802080,False
12,08/26/2017 16:04:06,2,12,3,0,000110001000111111110010000,000010110111111000001110000,rs,00:00:02.5983300,False
13,08/26/2017 16:04:09,3,12,3,0,000110001000111111110010000,000010110111111000001110000,rs,00:00:01.5581640,False
14,08/26/2017 21:35:07,0,4,1,9,000010011000000010000000000,000100000100110000000000000,r,00:00:05.5228230,True
15,08/26/2017 21:35:14,0,5,2,6,000011000000011001000000000,010110000010010000000000000,r,00:00:14.7230140,True
16,08/26/2017 21:35:31,0,7,2,3,110000000011000000011001000,000010110010010010010000000,r,00:00:14.0156260,True
0,08/26/2017 21:36:56,0,5,1,4,000000000000100000000111100,111100000100000000000000000,s,00:00:04.3027370,True
