timestamp,x_operation,z_operation,position
201709071536243624,0.002424871,0,(1.5, 2.0, 1.5)
201709071536243624,-0.005304841,0,(1.6, 2.0, 1.5)
201709071536253625,-0.00168367,0.01,(1.4, 2.0, 1.6)
201709071536253625,0,0.01,(1.4, 2.0, 1.9)
201709071536263626,0,0.01,(1.4, 2.0, 2.2)
201709071536263626,0,0.01,(1.4, 1.8, 2.4)
201709071536273627,0,0.00748491,(1.4, 1.7, 2.6)
201709071536273627,0,0.01,(1.4, 1.6, 2.9)
201709071536283628,0,0.01,(1.4, 1.5, 3.2)
201709071536283628,0,0.01,(1.4, 1.3, 3.5)
201709071536293629,0,0.01,(1.4, 1.2, 3.8)
201709071536293629,0,0.01,(1.4, 1.1, 4.1)
201709071536303630,-0.005496091,0.01,(1.4, 1.0, 4.4)
201709071536303630,-0.00247966,0.01,(1.1, 1.0, 4.7)
