timestamp,x_operation,z_operation,position
201709071536423642,0,0.0005495399,(1.5, 2.0, 1.5)
201709071536433643,0,0.01,(1.5, 2.0, 1.7)
201709071536433643,0,0.01,(1.5, 2.0, 2.0)
201709071536443644,-0.004245751,0.01,(1.5, 1.9, 2.2)
201709071536443644,-0.01,0.01,(1.2, 1.8, 2.5)
201709071536453645,0,0.01,(1.1, 1.6, 2.8)
201709071536453645,-0.01,0.00830653,(1.1, 1.5, 3.1)
201709071536463646,-0.01,0,(1.1, 1.5, 3.1)
201709071536463646,-0.0009655296,0.01,(1.1, 1.4, 3.3)
201709071536473647,0,0.01,(1.1, 1.3, 3.5)
201709071536473647,0,0.01,(1.1, 1.1, 3.8)
201709071536483648,0,0.01,(1.1, 1.0, 4.1)
201709071536483648,0.001043671,0.01,(1.1, 1.0, 4.3)
201709071536493649,0,0.01,(1.2, 1.0, 4.6)
201709071536493649,0,0.01,(1.2, 1.0, 4.9)
201709071536503650,0,0.01,(1.2, 1.0, 5.2)
201709071536503650,-0.01,0,(1.1, 1.0, 5.4)
201709071536513651,-0.006047259,-0.00695394,(0.8, 1.0, 5.4)
201709071536513651,0,-0.01,(0.8, 1.0, 5.1)
201709071536523652,0,-0.01,(0.8, 1.1, 5.1)
201709071536523652,-0.00644052,-0.01,(0.8, 1.2, 4.9)
201709071536533653,-0.00118561,-0.01,(0.6, 1.8, 4.7)
201709071536533653,0,-0.01,(0.6, 2.4, 4.4)
201709071536543654,0,0.0005848807,(0.6, 2.9, 4.1)
201709071536543654,0,-0.0005585396,(0.6, 2.5, 4.3)
201709071536553655,0,-0.01,(0.6, 2.9, 4.1)
201709071536553655,0,-0.01,(0.6, 3.1, 3.8)
201709071536563656,0,-0.01,(0.6, 3.1, 3.5)
201709071536563656,0,-0.01,(0.6, 3.0, 3.2)
201709071536573657,0,-0.01,(0.6, 3.0, 3.0)
201709071536573657,-0.00238386,-0.01,(0.6, 2.8, 2.7)
